Id,R,RM,Nome,Squadra,Qt.A,Qt.I,Diff.,Qt.A M,Qt.I M,Diff.M,FVM,FVM M,IsActive
5841,P,Por,Svilar,Roma,18,18,0,18,18,0,65,65,1
5116,P,Por,Martinez Jo.,Inter,17,17,0,17,17,0,63,63,1
4431,P,Por,Carnesecchi,Atalanta,16,16,0,16,16,0,52,52,1
6966,P,Por,Butez,Como,16,16,0,16,16,0,56,56,1
4312,P,Por,Maignan,Milan,15,15,0,15,15,0,50,50,1
2521,P,Por,De Gea,Fiorentina,13,13,0,13,13,0,45,45,1
572,P,Por,Meret,Napoli,11,11,0,11,11,0,45,45,1
133,P,Por,Skorupski,Bologna,10,10,0,10,10,0,37,37,1
4360,P,Por,Caprile,Cagliari,9,9,0,9,9,0,27,27,1
5876,P,Por,Di Gregorio,Juventus,9,9,0,9,9,0,40,40,1
6482,P,Por,Mandas,Lazio,9,9,0,9,9,0,30,30,1
6462,P,Por,Okoye,Udinese,9,9,0,9,9,0,29,29,1
7332,P,Por,Bijlow,Genoa,8,8,0,8,8,0,18,18,1
2134,P,Por,Falcone,Lecce,8,8,0,8,8,0,25,25,1
7411,P,Por,Daffara,Parma,7,7,0,7,7,0,5,5,1
6641,P,Por,Suzuki,Parma,7,7,0,7,7,0,20,20,1
4236,P,Por,Muric,Sassuolo,7,7,0,7,7,0,15,15,1
218,P,Por,Perin,Juventus,6,6,0,6,6,0,10,10,1
6248,P,Por,Stankovic F.,Venezia,6,6,0,6,6,0,14,14,1
4485,P,Por,Thiam,Monza,5,5,0,5,5,0,12,12,1
2170,P,Por,Milinkovic-Savic V.,Napoli,5,5,0,5,5,0,10,10,1
6415,P,Por,Palmisani,Frosinone,4,4,0,4,4,0,8,8,1
7463,P,Por,Desplanches,Frosinone,2,2,0,2,2,0,8,8,1
2814,P,Por,Provedel,Inter,2,2,0,2,2,0,5,5,1
4,P,Por,Sportiello,Atalanta,1,1,0,1,1,0,1,1,1
7533,P,Por,Happonen,Bologna,1,1,0,1,1,0,1,1,1
7172,P,Por,Pessina Mas.,Bologna,1,1,0,1,1,0,1,1,1
6650,P,Por,Sherri,Cagliari,1,1,0,1,1,0,1,1,1
7301,P,Por,Tornqvist,Como,1,1,0,1,1,0,1,1,1
2809,P,Por,Vigorito,Como,1,1,0,1,1,0,1,1,1
6403,P,Por,Christensen O.,Fiorentina,1,1,0,1,1,0,1,1,1
158,P,Por,Lezzerini,Fiorentina,1,1,0,1,1,0,1,1,1
7466,P,Por,Lolic,Frosinone,1,1,0,1,1,0,1,1,1
219,P,Por,Sommariva,Genoa,1,1,0,1,1,0,1,1,1
6569,P,Por,Stolz,Genoa,1,1,0,1,1,0,1,1,1
1926,P,Por,Di Gennaro,Inter,1,1,0,1,1,0,1,1,1
1930,P,Por,Pinsoglio,Juventus,1,1,0,1,1,0,1,1,1
7337,P,Por,Motta,Lazio,1,1,0,1,1,0,1,1,1
7534,P,Por,Renzetti,Lazio,1,1,0,1,1,0,1,1,1
6523,P,Por,Samooja,Lecce,1,1,0,1,1,0,1,1,1
2815,P,Por,Terracciano,Milan,1,1,0,1,1,0,1,1,1
6813,P,Por,Torriani,Milan,1,1,0,1,1,0,1,1,1
6682,P,Por,Pizzignacco,Monza,1,1,0,1,1,0,1,1,1
7475,P,Por,Strajnar,Monza,1,1,0,1,1,0,1,1,1
2845,P,Por,Contini,Napoli,1,1,0,1,1,0,1,1,1
6662,P,Por,Corvi,Parma,1,1,0,1,1,0,1,1,1
7048,P,Por,De Marzi,Roma,1,1,0,1,1,0,1,1,1
610,P,Por,Gollini,Roma,1,1,0,1,1,0,1,1,1
4518,P,Por,Russo A.,Sassuolo,1,1,0,1,1,0,1,1,1
4867,P,Por,Turati,Sassuolo,1,1,0,1,1,0,3,3,1
7457,P,Por,Mascardi,Torino,1,1,0,1,1,0,1,1,1
5320,P,Por,Paleari,Torino,1,1,0,1,1,0,1,1,1
7363,P,Por,Siviero,Torino,1,1,0,1,1,0,1,1,1
543,P,Por,Padelli,Udinese,1,1,0,1,1,0,1,1,1
5707,P,Por,Piana,Udinese,1,1,0,1,1,0,1,1,1
6671,P,Por,Grandi,Venezia,1,1,0,1,1,0,1,1,1
7531,P,Por,Pozzi,Venezia,1,1,0,1,1,0,1,1,1
7545,P,Por,Vismara,Atalanta,1,1,0,1,1,0,1,1,1
2127,P,Por,Satalino,Sassuolo,1,1,0,1,1,0,1,1,1
254,D,E;W,Dimarco,Inter,32,32,0,30,30,0,265,265,1
7181,D,E,Wesley,Roma,17,17,0,16,16,0,83,80,1
4159,D,Dc,Akanji,Inter,16,16,0,16,16,0,55,55,1
2788,D,Dc,Bremer,Juventus,15,15,0,15,15,0,50,50,1
2296,D,Dc,Mancini,Roma,15,15,0,15,15,0,49,49,1
2120,D,Dc,Bastoni,Inter,14,14,0,14,14,0,44,44,1
5022,D,Dc,Pavlovic,Milan,14,14,0,14,14,0,48,48,1
4409,D,Dc,Rrahmani,Napoli,14,14,0,14,14,0,47,47,1
4976,D,Dd;Dc,Kalulu,Juventus,13,13,0,14,14,0,46,48,1
4317,D,Dc,N'Dicka,Roma,13,13,0,13,13,0,44,44,1
6956,D,Dc,Solet,Udinese,13,13,0,13,13,0,46,46,1
2514,D,Dc,Stones,Inter,12,12,0,12,12,0,38,38,1
5833,D,Dc,Gila,Milan,12,12,0,12,12,0,31,31,1
2816,D,Dd;E,Di Lorenzo,Napoli,12,12,0,12,12,0,40,40,1
5750,D,Dc,Ostigard,Genoa,11,11,0,11,11,0,40,40,1
6217,D,Dc,Bisseck,Inter,11,11,0,11,11,0,33,33,1
5526,D,Dc,Scalvini,Atalanta,10,10,0,10,10,0,28,28,1
6869,D,Dc,Ramon,Como,10,10,0,10,10,0,32,32,1
5885,D,Dd;E,Dodò,Fiorentina,10,10,0,10,10,0,30,30,1
4807,D,Dc,Hermoso,Roma,10,10,0,10,10,0,26,26,1
5514,D,Ds;Dc,Vasquez,Genoa,9,9,0,10,10,0,33,35,1
5520,D,Dd;Ds;E,Cambiaso,Juventus,9,9,0,10,10,0,27,30,1
5641,D,Dd;Dc,Chalobah T.,Como,9,9,0,10,10,0,26,28,1
6046,D,Dc,Hien,Atalanta,8,8,0,8,8,0,16,16,1
554,D,Dd;E,Zappacosta,Atalanta,8,8,0,8,8,0,24,24,1
6042,D,Dc,Lucumì,Bologna,8,8,0,8,8,0,18,18,1
4734,D,Ds;E,Miranda J.,Bologna,8,8,0,8,8,0,24,24,1
4210,D,Dc,Mina,Cagliari,8,8,0,8,8,0,20,20,1
5365,D,Dc,Dragusin,Fiorentina,8,8,0,8,8,0,27,27,1
6531,D,Dd;Ds;E,Jimenez A.,Fiorentina,8,8,0,9,9,0,23,25,1
6814,D,Dd;E,Norton-Cuffy,Genoa,8,8,0,8,8,0,22,22,1
4657,D,B;Dd;E,Celik,Juventus,8,8,0,9,9,0,21,23,1
6496,D,Ds;E,Bartesaghi,Milan,8,8,0,8,8,0,25,25,1
1852,D,Ds;E,Spinazzola,Napoli,8,8,0,8,8,0,24,24,1
6664,D,B;Dd;E,Delprato,Parma,8,8,0,8,8,0,21,24,1
5862,D,Ds;E,Valeri,Parma,8,8,0,8,8,0,24,24,1
7529,D,Dc,Koulierakis,Roma,8,8,0,8,8,0,20,20,1
4994,D,Dd;E,Vojvoda,Udinese,8,8,0,8,8,0,19,19,1
6727,D,Dd;E,Couto,Como,8,8,0,8,8,0,27,27,1
5701,D,B;Ds;E,Obert,Cagliari,7,7,0,7,7,0,14,16,1
7414,D,Ds;E,Kaiki,Como,7,7,0,7,7,0,23,23,1
5877,D,B;Ds;E,Carlos Augusto,Inter,7,7,0,8,8,0,27,30,1
6320,D,Dc,Doekhi,Lazio,7,7,0,7,7,0,22,22,1
460,D,Dc,Romagnoli,Lazio,7,7,0,7,7,0,24,24,1
6989,D,Dc,Tiago Gabriel,Lecce,7,7,0,7,7,0,17,17,1
4401,D,Dc,Gabbia,Milan,7,7,0,7,7,0,23,23,1
